jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
7,3,1,2,2,3,2,5,1,4,3,5,1,9,5,4,5,6,1,18,4,1,3,1,4,9,2,7,6,4,9,7,7,5,5,3,6,1,3,2,8,2,4,2,4,1,6,1
8,4,1,4,3,2,7,9,1,5,5,4,2,9,4,7,4,1,2,6,3,1,1,5,7,8,2,7,4,1,7,4,6,6,4,7,2,9,5,2,8,7,4,2,4,1,1,4
8,4,2,2,10,3,2,2,1,4,1,7,1,6,6,2,1,7,4,53,4,1,3,10,10,6,4,5,5,4,9,6,5,4,4,7,2,8,5,3,8,5,4,3,4,2,4,1
6,2,2,3,11,5,8,9,1,4,1,7,1,7,7,7,3,6,2,32,2,1,3,3,8,10,4,7,5,2,7,5,6,6,4,4,6,5,5,5,8,3,1,2,4,4,3,2
6,5,2,3,4,1,1,4,1,3,4,4,5,2,2,3,2,6,6,27,2,1,1,6,10,3,6,2,2,2,8,3,1,6,2,7,6,4,4,1,1,1,4,5,4,3,2,2
2,3,3,2,6,4,3,4,1,3,2,4,5,3,3,3,2,5,6,23,4,3,5,1,2,4,6,3,2,4,9,3,2,6,2,2,3,4,5,1,2,1,4,3,4,3,1,4
1,3,1,2,4,5,8,9,1,3,3,4,6,2,2,7,5,1,1,1,2,1,2,10,10,3,6,2,2,8,8,3,1,3,3,6,1,8,3,3,8,4,4,6,4,2,2,4
9,1,3,3,1,1,1,5,1,3,5,3,5,3,3,4,1,6,4,47,4,3,5,1,4,4,4,4,1,8,7,2,3,4,1,5,6,1,5,1,8,1,4,4,4,1,3,1
2,4,3,2,2,2,7,9,1,3,3,4,4,6,4,7,2,5,6,54,3,2,4,1,8,8,5,7,2,8,7,3,5,4,3,7,1,8,4,1,8,4,4,4,4,2,5,4
5,4,3,3,2,3,2,6,1,4,4,4,1,10,4,4,5,4,1,32,2,2,2,1,4,6,7,5,7,8,8,7,5,5,7,3,2,6,5,4,6,9,1,4,4,4,1,3
7,5,2,3,7,5,8,9,1,5,3,6,3,4,4,7,2,7,6,58,2,1,5,3,8,3,5,2,6,4,9,7,2,4,3,6,1,8,2,1,2,4,4,7,4,2,2,5
8,5,2,3,7,3,2,4,1,3,3,4,6,1,1,2,3,7,4,30,4,2,1,10,10,10,4,7,3,2,7,4,6,5,3,7,1,8,6,4,6,3,4,5,4,4,4,3
6,3,1,3,11,3,2,3,1,4,1,7,1,8,7,3,1,5,4,60,3,1,2,10,10,2,6,1,2,2,8,3,1,5,3,7,1,7,5,4,7,3,4,3,4,4,6,4
7,5,1,3,7,1,1,3,1,4,3,6,1,7,6,3,4,6,2,51,3,2,1,10,10,7,6,6,2,4,5,2,4,8,4,4,6,4,2,1,6,3,4,2,4,1,5,1
2,4,3,2,3,2,7,9,1,3,3,4,5,1,1,6,2,5,6,5,4,2,1,7,8,6,2,7,8,8,7,7,7,3,4,5,1,8,4,4,2,5,4,5,3,1,1,4
3,2,2,2,5,5,8,9,1,3,2,5,5,1,8,7,4,3,2,18,3,3,5,1,7,9,3,7,8,5,2,3,5,6,5,6,2,7,3,5,8,6,4,4,4,3,4,4
