jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
5,3,2,3,1,5,8,9,2,3,5,2,5,1,1,6,3,6,4,13,5,3,1,1,7,5,5,4,3,4,7,4,3,6,3,7,2,7,3,1,7,3,2,2,4,3,6,1
2,3,3,2,8,1,2,3,1,3,1,7,6,4,4,2,1,5,6,34,3,3,1,4,10,6,2,7,3,5,4,3,5,4,6,7,2,6,4,1,6,7,4,4,4,3,4,4
8,1,3,3,6,2,6,8,1,6,3,7,5,1,10,7,5,7,4,45,3,2,6,6,6,4,4,4,8,1,9,9,4,6,1,4,5,6,4,3,8,1,4,2,4,1,2,3
9,3,3,3,4,2,3,6,1,3,4,3,4,3,3,4,1,7,5,2,4,1,1,1,5,1,4,1,5,6,6,5,1,6,3,5,5,4,5,1,7,2,4,3,4,3,5,1
5,3,3,3,10,3,4,5,1,4,2,6,1,9,6,4,3,6,2,29,6,3,1,6,10,5,4,5,6,1,9,7,5,5,5,5,6,2,5,1,8,3,4,4,4,3,4,1
8,5,2,2,1,5,4,7,1,3,4,3,6,1,1,5,2,5,3,25,5,1,1,2,5,3,2,3,6,1,9,7,3,5,2,5,4,8,7,5,5,3,4,2,2,1,1,2
5,3,2,3,10,4,8,9,1,5,2,5,3,3,3,7,3,2,4,41,4,1,3,1,7,9,2,7,2,2,6,2,5,5,3,7,5,7,7,1,7,3,4,6,4,2,5,3
7,4,3,3,1,5,5,9,1,4,5,3,1,6,3,7,2,6,5,1,3,2,6,1,7,3,2,3,3,5,7,4,2,3,2,6,6,7,3,1,8,2,1,4,4,2,4,1
8,2,2,3,1,4,8,9,1,4,5,2,1,6,2,7,3,7,4,32,2,3,1,2,7,9,5,7,7,3,9,8,7,6,6,6,6,2,5,1,2,3,1,5,4,2,2,2
8,2,3,3,1,3,5,9,1,3,5,2,5,1,1,3,1,7,5,66,5,2,2,1,7,10,8,7,8,5,9,8,7,6,4,5,5,6,4,2,8,3,4,5,4,2,4,1
8,5,2,2,4,1,2,4,1,3,3,5,5,2,2,3,3,7,5,66,5,3,3,2,2,7,9,4,6,2,9,7,4,6,3,3,4,3,4,1,8,2,4,2,4,2,3,1
1,3,1,1,7,1,1,1,1,2,1,6,4,5,5,1,3,1,2,62,3,2,2,3,9,10,7,7,2,6,4,2,5,5,2,7,1,8,4,1,2,3,4,5,4,2,5,4
4,5,1,3,11,5,4,5,2,3,1,6,6,1,10,5,2,3,4,64,3,2,5,6,10,1,7,1,6,1,9,7,1,5,2,7,2,8,6,1,6,2,4,6,4,2,4,5
