jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
3,5,2,2,10,1,1,1,2,2,1,6,3,2,2,1,4,2,2,8,4,3,1,2,8,3,3,3,5,2,5,4,2,4,6,3,4,2,2,1,6,3,4,2,2,2,5,2
9,5,1,4,1,1,3,8,2,3,6,2,5,1,1,5,1,6,5,63,3,2,2,1,7,9,3,7,4,3,9,5,6,5,2,1,2,8,5,5,1,2,4,3,1,1,1,4
1,3,3,2,8,3,2,3,1,4,1,7,1,8,7,3,5,1,1,34,3,2,3,6,10,4,9,2,6,1,9,7,2,3,4,6,1,8,5,3,7,5,4,5,4,1,1,5
3,2,3,2,5,4,3,5,1,3,2,4,5,4,4,4,5,3,4,56,5,1,6,1,4,2,7,1,9,1,9,9,1,6,2,3,5,6,3,3,6,2,4,2,4,1,1,3
5,5,2,3,9,3,8,9,1,4,2,6,1,7,6,7,3,5,5,34,3,2,1,6,8,1,6,1,8,4,4,5,1,5,5,4,5,9,5,5,3,9,4,2,2,3,1,6
6,4,2,3,11,5,8,9,1,3,1,6,5,1,10,8,4,5,4,58,3,3,1,10,10,5,2,5,8,1,7,7,5,6,5,7,2,6,1,1,6,5,4,6,4,3,3,3
1,3,1,2,5,5,3,5,1,2,2,5,4,1,1,3,3,2,2,19,4,3,1,1,3,1,7,1,9,4,9,9,1,5,3,2,5,2,5,3,4,1,4,2,4,2,2,2
8,1,1,3,8,4,2,4,1,4,2,5,1,8,5,3,2,7,5,57,3,2,1,7,10,4,3,4,7,4,6,6,4,5,5,7,4,7,5,1,7,6,1,5,4,3,6,1
8,3,1,4,9,1,2,5,1,3,3,5,4,2,2,3,4,5,4,27,3,3,1,2,4,6,3,6,7,1,8,7,6,6,7,4,4,3,4,1,7,7,4,6,4,2,5,3
3,2,1,2,2,1,1,4,1,3,3,5,5,3,3,3,5,3,3,62,3,3,3,10,10,3,3,3,3,1,9,4,2,5,3,7,1,7,3,1,6,3,4,3,4,3,6,1
4,1,1,3,8,2,2,4,1,3,2,5,6,1,1,2,3,4,2,59,4,2,1,1,2,3,9,1,3,1,8,4,1,5,1,2,2,3,5,3,4,1,4,3,4,1,1,2
9,2,3,3,10,3,6,7,1,4,2,6,1,4,4,5,4,7,4,55,9,2,1,4,6,2,5,2,8,1,7,7,2,5,4,6,5,7,5,1,8,4,4,6,2,2,3,3
1,2,3,2,4,1,1,3,1,2,3,4,3,5,4,2,4,2,1,56,4,3,1,4,10,6,3,6,3,3,6,3,5,6,3,6,3,7,3,1,5,3,1,4,4,2,4,4
5,5,3,2,2,5,8,9,1,4,3,5,1,6,5,7,1,4,5,32,2,2,6,2,7,3,4,3,8,5,7,7,3,7,5,4,2,8,5,5,8,8,4,5,2,1,1,4
7,2,1,3,11,3,8,9,1,5,1,7,2,9,7,7,4,6,4,10,2,3,2,7,8,2,5,2,3,1,9,4,2,5,2,4,6,5,6,1,5,1,4,3,4,2,2,1
6,4,2,2,11,2,6,6,1,4,1,7,1,10,7,5,4,7,4,65,4,2,5,5,5,5,2,5,4,1,8,5,4,4,3,5,6,3,5,1,7,2,4,4,4,3,5,2
7,2,2,2,11,2,2,2,1,4,1,7,1,6,6,2,1,6,6,35,5,2,1,6,10,10,5,7,3,2,6,3,5,1,3,7,6,1,3,1,6,1,4,2,4,1,1,3
9,1,3,3,1,2,3,7,1,4,5,3,1,4,3,5,4,6,4,43,3,3,3,3,6,9,1,7,3,1,9,4,6,7,3,7,3,6,4,1,7,2,4,3,4,3,4,1
1,4,2,2,3,2,2,5,1,2,3,4,3,7,4,4,2,3,3,47,5,2,1,3,3,6,9,4,2,3,7,3,3,5,3,4,4,3,5,1,8,2,2,2,1,2,5,5
3,3,2,2,5,4,3,5,1,3,2,4,5,4,4,4,1,2,3,20,4,1,4,1,4,1,4,1,8,2,5,5,1,5,2,3,4,6,6,5,4,2,1,6,3,1,1,5
