jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
3,2,2,1,3,2,1,3,1,3,2,5,5,1,1,2,1,3,5,25,4,3,1,1,1,10,6,7,7,7,7,7,7,4,8,1,2,2,7,4,6,8,4,3,3,1,1,4
9,5,2,4,11,1,2,4,1,3,2,6,5,3,3,3,5,7,4,46,3,3,3,3,3,9,4,7,4,1,9,5,6,5,7,2,1,7,3,5,6,9,4,3,1,1,1,4
3,3,2,2,11,4,4,4,1,3,1,5,4,1,1,2,1,3,5,39,2,2,1,1,3,10,5,7,8,5,5,5,6,5,5,2,4,6,5,5,6,5,4,4,2,1,1,5
8,2,3,3,1,1,2,6,1,3,5,3,6,1,1,4,2,6,5,2,3,3,1,1,5,2,5,2,5,3,9,6,2,6,2,7,6,3,6,1,6,1,4,7,4,2,2,1
1,5,1,1,1,2,1,3,1,3,3,4,5,2,2,2,3,2,3,53,4,1,1,1,1,4,2,4,6,1,7,6,4,5,2,1,5,2,5,4,3,1,4,1,3,1,1,2
4,4,3,2,3,5,6,8,1,4,3,5,1,5,5,6,5,3,1,50,2,1,7,1,6,10,2,7,9,1,7,8,7,6,7,3,5,3,6,1,8,7,4,2,3,2,2,2
4,4,3,2,11,2,3,3,1,3,1,6,5,1,10,3,2,4,3,24,6,1,1,8,10,2,2,2,7,2,9,8,2,4,6,5,2,7,7,3,4,8,4,6,3,1,1,3
2,2,1,3,10,4,7,8,1,3,2,4,5,1,1,5,1,3,6,36,4,1,2,1,6,6,1,7,3,1,6,3,5,5,3,4,5,7,5,4,5,3,1,3,3,1,1,3
6,3,1,2,10,4,8,8,1,4,1,6,1,6,6,6,1,6,4,55,2,3,1,6,7,2,2,2,4,5,5,4,2,5,3,6,6,3,5,1,8,2,1,6,4,3,3,2
2,3,2,2,3,1,1,4,1,3,3,5,4,1,1,2,1,4,5,33,3,2,1,2,2,10,7,7,5,4,9,6,6,5,3,2,2,6,5,5,3,2,4,2,2,1,1,3
8,2,3,2,11,2,4,4,1,6,1,9,4,1,1,2,1,7,5,66,5,1,1,1,2,6,6,5,8,5,5,5,4,7,6,2,4,4,5,4,4,5,4,1,4,1,1,1
5,2,2,3,10,3,1,2,1,4,2,6,1,6,6,2,4,6,4,32,2,3,2,6,10,7,3,7,5,2,9,6,6,6,2,7,6,5,5,1,6,1,4,5,4,2,3,2
5,3,2,4,10,4,4,6,1,4,3,4,1,10,4,4,5,5,4,29,5,1,3,3,4,5,2,5,6,1,4,4,4,6,5,6,2,6,4,1,8,5,4,1,4,3,6,1
4,5,1,3,11,2,3,4,2,3,1,6,5,2,2,3,5,4,4,31,2,2,5,1,3,3,2,3,3,1,9,4,2,3,3,2,1,1,4,1,5,1,4,4,4,2,3,5
6,2,1,3,11,5,6,7,1,3,1,6,4,4,4,5,4,6,4,13,5,2,1,2,5,6,8,4,4,5,5,4,3,4,2,4,6,3,4,1,7,1,4,1,4,2,5,2
5,2,3,3,7,4,8,9,1,4,3,4,1,7,4,7,2,5,4,22,3,3,4,4,8,8,8,6,1,3,9,2,4,8,1,5,3,8,3,5,6,1,4,2,4,1,1,2
4,1,1,3,3,3,4,7,1,4,4,4,1,4,4,5,3,5,3,50,1,1,3,2,6,5,5,4,7,4,9,8,4,7,2,7,4,7,5,1,6,2,4,3,4,3,6,1
6,4,3,3,2,3,5,9,1,4,4,4,1,7,4,7,4,5,4,43,4,1,1,5,7,6,5,5,4,1,9,5,4,7,2,7,1,8,4,1,4,2,1,3,4,2,5,6
6,5,2,3,7,5,6,8,1,4,3,5,1,5,5,6,2,4,3,1,2,1,3,4,6,8,8,6,6,3,8,6,6,3,4,5,1,8,2,4,5,5,4,2,2,1,1,6
2,5,1,3,7,2,2,4,1,3,3,4,5,3,3,3,5,2,1,62,2,2,2,3,3,3,6,2,2,1,9,3,1,6,2,2,2,5,4,4,2,1,4,4,2,1,1,2
4,1,3,2,3,5,2,4,1,4,3,5,2,3,3,3,4,4,5,17,3,1,1,3,2,8,6,7,9,1,7,8,7,9,5,2,2,2,3,2,2,3,2,2,4,2,3,4
6,1,1,4,3,1,2,6,1,2,5,2,4,3,2,4,5,5,3,62,3,2,2,2,4,8,2,7,2,1,9,3,5,5,4,2,2,9,4,5,6,7,4,6,1,1,1,5
1,3,1,2,8,2,1,2,1,3,1,6,5,1,10,2,1,1,2,5,2,3,1,10,10,1,2,1,2,6,8,3,1,3,6,6,1,9,4,5,2,9,4,2,2,1,1,4
