Length of Username,Sex,Is Professional Account,Country Block_1,Country Block_2,Is Joined Recently,Is Business Account,Number of Video Posts,Class,Is Verified,Is Private,Number of Mutual Followers,Length of Biography,Number of Followers,Mean Post Likes,Number of Posts,Percentage of Following
0.5056941669154558,1.0,0.0,0.0,0.0,1.0,0.0,0.6233854723828192,0,0,1,102.4686482251259,94.26796965546473,241.4886525206271,107.42361802760904,-57.82257867994181,-216.57175952250373
0.6082163539873491,1.0,0.0,0.0,0.0,1.0,1.0,0.5672051143341973,1,0,1,72.34985528275722,161.9493595940881,1.5055962250452666,4.438935449012334,64.37725866869894,77.72667872219414
0.4931214551500418,0.0,1.0,0.0,0.0,0.0,1.0,0.5102756817249469,1,0,0,53.45311346454549,22.273835864190914,123.38482951465456,14.503046076638135,64.94610818937217,50.55019378535809
0.4517008289036806,1.0,1.0,0.0,0.0,0.0,1.0,0.6520811441006474,0,0,1,76.59605700535387,71.98269761393304,-7.669736369886195,135.53097009175258,19.00813213794521,204.0749447185138
0.515391097520318,1.0,0.0,0.0,0.0,1.0,0.0,0.5344143880469349,0,1,1,62.27092626213718,60.65907748452058,5.636332102994452,217.48880619215475,138.16693676577322,-49.53426067615291
0.555075502997444,1.0,0.0,0.0,0.0,0.0,1.0,0.6035627276272262,1,0,0,64.10924574708633,13.47992052161591,125.2602759283361,18.568749428400668,64.98171473164153,72.69039692005956
0.6116413543455406,1.0,0.0,0.0,0.0,1.0,1.0,0.684200614356286,0,1,1,30.258405042240867,71.95127234979125,47.23028413849838,-32.86982978486523,101.28384542378328,68.86270020671793
0.7863872098316109,0.0,0.0,0.0,0.0,1.0,0.0,0.7017400905227973,0,1,0,117.56640102005552,63.89372027391846,14.940261666337696,59.01821304949037,161.15121350592094,119.77364668430374
0.414662245179639,1.0,0.0,0.0,0.0,1.0,0.0,0.591356086190375,1,0,0,2.457556412631675,-8.010039470921669,12.4775274945752,30.699474115147524,65.23643393299982,52.41231345243488
0.5630995793702148,1.0,1.0,0.0,0.0,1.0,1.0,0.4993940415733036,0,1,0,52.61702329092644,75.62762929402618,130.97646546199402,97.00439743627284,61.37905988766185,131.83087267517934
0.6977533832314572,1.0,0.0,0.0,0.0,1.0,1.0,0.6134044861242566,0,1,1,231.7343700784264,82.25201170032625,81.7513011727961,-7.442065752427908,127.1653675543256,52.39612598090348
