Length of Username,Sex,Is Professional Account,Country Block_1,Country Block_2,Is Joined Recently,Is Private,Is Verified,Mean Post Likes,Is Business Account,Number of Video Posts,Length of Biography,Class,Number of Mutual Followers,Number of Followers,Number of Posts,Percentage of Following
0.4795006579530105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6084141062911579,0.0,0.6426201217309919,0.5596665323930812,0,74.35737371110216,81.1600163155848,73.66344388727738,-105.77123693135891
0.6183083525995485,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6115769119151071,0.0,0.5675930150598565,0.3320619408885917,0,121.29230192380926,112.95058263186566,79.60555817766058,-56.09981001577757
0.6549651150589442,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6543166617896606,1.0,0.5624210995942633,0.4823069749888906,1,66.2336071643174,46.30814988377605,184.4678185995157,150.16377223771917
0.6652091780276316,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5484491849860139,1.0,0.6999786013545829,0.5002160984611868,0,150.0805030656878,76.4141265366594,68.90404300469174,-0.955720498842492
0.4460004354928527,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4644985870146423,0.0,0.3898294039120504,0.3402072223926484,1,131.7264639482762,69.08142047521005,146.2809525384027,131.91404367347178
0.4967181522953226,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5370604729975976,0.0,0.4970771244319837,0.4795701798923212,1,-24.34066527190879,52.41045491233855,-20.707368714543207,-9.602716493640116
0.4291947396392898,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5117711058019453,0.0,0.5768509544446866,0.5299052816145017,0,-66.35396635199805,74.28251234905633,64.23233868076395,-71.84329582636366
0.5007764807794428,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4700835508062882,0.0,0.5417160931909274,0.2839958333119934,0,-1.414265291372942,97.1653766870018,66.83751234913179,159.14500186111
0.5183975190346285,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5260404807636654,0.0,0.5405637486420339,0.3308169383566572,0,-31.89012148334527,117.33183449366004,77.67062241652263,-11.510403047499572
0.524873153781834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5399114413101154,0.0,0.6183747609131944,0.4675892484866885,0,130.63356510250563,47.19043677970169,70.38286013756645,-4.322934600139567
0.4584618757818966,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4975213822022152,0.0,0.6143395787527948,0.2286583935779663,1,-27.662178820559102,40.949624347500375,82.39799590307688,-30.005537279706047
0.459408074088503,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5133862421661298,0.0,0.5577760520034694,0.4253132889968379,0,-11.418985572692876,77.11962237224493,69.10534775450533,103.73940653141976
