Length of Username,Class,Sex,Is Professional Account,Country Block_1,Country Block_2,Number of Followers,Is Joined Recently,Is Private,Is Verified,Number of Posts,Number of Mutual Followers,Mean Post Likes,Percentage of Following,Is Business Account,Number of Video Posts,Length of Biography
0.5030865795198867,1.0,1.0,0.0,0.0,0.0,0.3073582320772168,1.0,0.0,0.0,0.6153182267647512,0.4592846377353385,0.5209591961612137,0.7503164071362034,0.0,0.5416386116276148,0.3088435264592192
0.3723364261140391,1.0,0.0,0.0,0.0,0.0,0.3372800502073986,1.0,0.0,0.0,0.7676647964998247,0.4445434110124049,0.5472370091176292,0.7859188272525857,0.0,0.6449743970758317,0.3942221814061394
0.4508889033194792,1.0,1.0,0.0,0.0,0.0,0.4357897662555591,1.0,0.0,0.0,0.6721071254168944,0.4863818118074874,0.4846573203101093,0.771237916864852,0.0,0.6028083664192717,0.3477657894912005
0.4214881079876117,1.0,0.0,1.0,0.0,0.0,0.4511338968261248,1.0,1.0,0.0,0.559513594793563,0.4474087454602248,0.4554767506367994,0.8148119519846114,0.0,0.6629497905503984,0.2599679594858118
0.3898488848719117,1.0,1.0,0.0,0.0,0.0,0.4329074241394051,1.0,1.0,0.0,0.7028138898716084,0.4874404269495387,0.4927824628284254,0.8170330852933247,0.0,0.4179646837794087,0.3867489076232991
0.551032697659822,1.0,1.0,0.0,0.0,0.0,0.2734033434785934,1.0,1.0,0.0,0.5244795959278955,0.473483583272035,0.4428203471796214,0.7856880328651662,1.0,0.5409265886300675,0.4604715396259112
0.3978152819657166,1.0,1.0,1.0,0.0,0.0,0.3434501108883191,1.0,1.0,0.0,0.565594387602147,0.4104710021072089,0.5243482084119997,0.8099612453935185,0.0,0.5535413467763979,0.2524716534300246
0.5442535672414668,1.0,0.0,1.0,0.0,0.0,0.3989514793306216,1.0,1.0,0.0,0.6207500575015156,0.3968871248521504,0.5081774786080322,0.7738217991862948,1.0,0.7277737817599317,0.2426258591513908
0.5757638370284953,1.0,1.0,0.0,0.0,0.0,0.2131387284188918,1.0,1.0,0.0,0.6343612059552899,0.5182892039455348,0.5818306049826032,0.876565617074724,0.0,0.6143456141592224,0.4328237653717625
0.6208455136351989,1.0,1.0,0.0,0.0,0.0,0.360148278246251,0.0,0.0,0.0,0.7878167371283402,0.5170438271325241,0.4381247003904336,0.8012507652568241,1.0,0.562384719332436,0.3486862041826379
0.6179051737133749,1.0,1.0,1.0,0.0,0.0,0.1801339556126329,1.0,0.0,0.0,0.5873072778703408,0.4999248068744249,0.4562441065959696,0.842911967148292,0.0,0.6622844559555159,0.2956445145260897
0.7960759947725407,1.0,0.0,0.0,0.0,0.0,0.4173676867645194,1.0,0.0,0.0,0.6499040223001962,0.4184359399052064,0.4513211307107057,0.8132632993290609,0.0,0.6079198685947693,0.2635274602928166
0.442141585104466,1.0,1.0,1.0,0.0,0.0,0.4237367486660802,1.0,0.0,0.0,0.5539584453503159,0.481155332188123,0.49422008479816,0.7867199977701022,0.0,0.6732021930827181,0.5119863859421663
0.5571071734113963,1.0,0.0,0.0,0.0,0.0,0.2573115452025807,0.0,0.0,0.0,0.5290811793976837,0.4887775072767789,0.5860640378192816,0.7857893173841374,0.0,0.5315175263793126,0.2656038106607522
0.4260975303020538,1.0,1.0,1.0,0.0,0.0,0.3205423991412471,1.0,0.0,0.0,0.67307473704468,0.4689882002502383,0.5665379266320969,0.7857904671234903,1.0,0.6022185334191489,0.4501853764099666
